ActualElapsedTime,Origin,Dest,Distance,Cancelled
54,CVG,ORD,264,0
65,DFW,JAN,408,0
97,EWR,RDU,416,0
NA,ORD,PHL,678,1
74,CAE,IAD,401,0
61,MSY,HOU,303,0
52,DTW,IND,231,0
98,RSW,RDU,667,0
216,LGA,PBI,1035,0
66,CPR,BIS,387,0
50,PIT,CRW,164,0
65,RDU,PIT,328,0
166,LAX,DFW,1235,0
51,CAE,RDU,188,0
95,ORD,MCI,403,0
80,FWA,ATL,508,0
73,LAX,PHX,370,0
41,MCO,PBI,142,0
115,DEN,DFW,641,0
243,LAX,ATL,1946,0
122,BWI,BNA,588,0
55,OKC,DFW,175,0
111,IAD,ATL,533,0
73,ATL,MLB,443,0
58,SAT,DFW,247,0
111,DTW,ATL,594,0
131,EWR,ORD,719,0
84,CAK,ORD,344,0
46,DAL,HOU,239,0
127,DFW,ORD,802,0
84,ORD,MSP,334,0
68,SFO,BUR,326,0
100,DTW,ATL,594,0
102,MCI,ATL,692,0
193,ATL,SJU,1547,0
48,IND,STL,229,0
81,BNA,DTW,457,0
137,CVG,PBI,892,0
166,JFK,TPA,1005,0
73,SFO,MFR,329,0
70,PHX,LAX,370,0
59,PHX,ELP,347,0
84,CMH,STL,410,0
158,IAD,MSY,954,0
97,ORD,CLT,599,0
54,DTW,PIT,201,0
69,MEM,VPS,369,0
49,ROA,CLT,155,0
180,MSP,JFK,1028,0
99,COS,SLC,410,0
46,PBI,MCO,142,0
81,SMF,SNA,404,0
105,ORD,EWR,719,0
73,SFO,LAX,337,0
156,EWR,JAX,821,0
219,MSP,SMF,1518,0
108,STL,DFW,551,0
41,AZO,DAY,176,0
149,PIT,RSW,966,0
62,PHX,LAS,256,0
119,MEM,SRQ,686,0
65,SCK,LAX,315,0
55,MCO,MIA,193,0
50,ATL,CAE,191,0
80,CMH,STL,410,0
80,BUR,PHX,369,0
44,PWM,BOS,95,0
109,MCI,ATL,692,0
23,AVP,ABE,50,0
109,GUM,ROR,813,0
54,ISP,SYR,222,0
17,ITH,BGM,32,0
43,FAT,LAX,209,0
134,PHX,LAX,370,0
49,AGS,CLT,140,0
161,PIT,MIA,1013,0
71,LAX,LAS,236,0
82,BWI,BOS,370,0
236,ORD,LAX,1745,0
52,DFW,TUL,237,0
163,MIA,STL,1068,0
79,BOS,DCA,399,0
67,HOU,DFW,247,0
73,OKC,IAH,395,0
214,DEN,BWI,1491,0
275,STL,SEA,1710,0
129,ATL,OKC,761,0
55,MEM,MGM,280,0
119,SDF,DFW,733,0
88,BWI,DTW,408,0
87,OAK,LAX,337,0
49,GRR,ORD,137,0
65,MLI,MSP,274,0
47,SEA,GEG,224,0
45,CLT,RDU,130,0
56,SFO,BUR,326,0
113,IAH,TPA,787,0
165,DFW,LAS,1055,0
153,DEN,LAX,862,0
164,SAT,PIT,1277,0
61,ATL,LEX,303,0
87,PHX,SLC,507,0
100,ATL,SRQ,445,0
93,BOI,SFO,522,0
61,CLT,JAX,329,0
80,MCO,ATL,403,0
98,BUR,SFO,326,0
62,MEM,STL,256,0
125,ATL,HOU,696,0
114,PHX,DFW,868,0
82,EUG,SFO,451,0
58,CLT,DCA,331,0
213,LGA,PBI,1035,0
183,EWR,MIA,1086,0
39,BNA,CHA,112,0
93,DFW,MCI,460,0
34,RSW,SRQ,77,0
72,DFW,MSY,448,0
83,SFO,LAX,337,0
72,PIT,LGA,335,0
91,PIT,ATL,526,0
37,CAK,DAY,162,0
89,MSY,TPA,487,0
141,PHX,PDX,1009,0
NA,DTW,ORD,235,1
102,ORD,LGA,733,0
65,PHL,ALB,212,0
60,BHM,MSY,321,0
88,STL,DTW,440,0
171,GEG,MSP,1175,0
55,SFO,SJC,30,0
32,SUX,LNK,109,0
65,PHX,ABQ,328,0
159,ORD,DEN,888,0
135,BUR,DEN,850,0
79,BDL,PIT,406,0
73,LAX,OAK,337,0
101,MIA,ATL,595,0
63,FAT,LAX,209,0
65,ROC,PIT,224,0
136,DEN,BUR,850,0
332,CLE,SFO,2161,0
105,MCO,RDU,534,0
76,CLE,LGA,418,0
66,ORD,LEX,323,0
72,BUR,RNO,374,0
139,BOS,DTW,632,0
74,PIT,BTV,454,0
116,ATL,LGA,761,0
137,STL,EWR,872,0
94,PIT,RDU,328,0
46,LAX,SAN,109,0
109,EWR,DTW,487,0
62,PHX,ABQ,328,0
29,ROC,SYR,79,0
151,PBI,LGA,1035,0
50,DAY,CMI,216,0
95,SLC,GEG,546,0
56,ROC,IAD,289,0
72,DFW,MEM,432,0
119,PIT,MCI,773,0
97,RNO,SEA,564,0
85,LAX,PHX,370,0
125,DFW,ATL,732,0
121,DEN,ONT,819,0
91,ORD,BHM,584,0
255,LAX,PIT,2136,0
156,EWR,ORD,719,0
68,CMH,DCA,322,0
56,PHX,SAN,304,0
143,TPA,STL,869,0
70,SFO,LAX,337,0
125,STL,DCA,719,0
50,PIT,HTS,192,0
165,LGA,TPA,1011,0
39,MIA,FLL,21,0
71,STL,TUL,351,0
57,ELP,ABQ,223,0
177,DFW,ONT,1189,0
129,DCA,STL,719,0
63,ORD,DAY,240,0
120,IAH,TPA,787,0
151,DFW,MCO,984,0
39,BNA,BHM,177,0
94,RDU,BDL,532,0
73,ELP,PHX,347,0
88,STL,MSP,449,0
74,DAB,ATL,366,0
52,SFO,FAT,158,0
60,PIT,EWR,319,0
85,PHL,GSO,365,0
44,LGA,PHL,96,0
37,MCO,RSW,133,0
60,MSP,MSN,228,0
54,CAE,ATL,191,0
42,ATL,CAE,191,0
46,DAL,HOU,239,0
313,SFO,HNL,2398,0
49,DCA,LGA,214,0
37,ITH,MDT,159,0
252,BDL,DEN,1671,0
141,DEN,ONT,819,0
151,PBI,PHL,951,0
47,CVG,DTW,229,0
73,MDW,BNA,395,0
110,MCI,DEN,533,0
55,PIT,TOL,201,0
76,ELP,PHX,347,0
141,LGA,STL,887,0
93,DTW,STL,440,0
248,IAD,DEN,1452,0
60,LGA,DCA,214,0
146,DEN,MSY,1062,0
61,FAR,MSP,223,0
178,ANC,SEA,1449,0
72,HOU,DFW,247,0
45,BTV,SYR,175,0
239,SFO,ORD,1846,0
106,ATL,MIA,595,0
165,EWR,TPA,998,0
74,STL,SUX,405,0
106,STL,IAD,696,0
54,SFO,RNO,192,0
81,ONT,SFO,363,0
64,LAS,LAX,236,0
75,BOS,PHL,280,0
159,BOS,ORD,867,0
100,STL,MSY,604,0
50,PDX,SEA,129,0
198,CLE,DEN,1201,0
92,DEN,TUL,541,0
36,FCA,HLN,159,0
80,DTW,BWI,408,0
57,DFW,MAF,309,0
131,ATL,AUS,813,0
35,RSW,MCO,133,0
189,STL,TUS,1245,0
99,TUS,DEN,639,0
148,MKE,DEN,895,0
104,ATL,PHL,665,0
53,ATL,CHS,259,0
276,SFO,HNL,2398,0
95,CMH,MEM,518,0
180,SAT,LAX,1210,0
110,MSP,DEN,680,0
68,ORD,DAY,240,0
49,PIT,PHL,267,0
111,OKC,ORD,693,0
100,ATL,PHL,665,0
53,LGA,BOS,185,0
142,CVG,FLL,932,0
64,DEN,ABQ,349,0
162,JFK,MCO,944,0
113,IAH,ATL,689,0
160,MCO,DFW,984,0
48,DCA,GSO,248,0
50,GSP,ATL,153,0
108,BHM,HOU,570,0
NA,DEN,LAX,862,1
164,MCO,BOS,1121,0
68,JAX,ATL,270,0
151,DFW,RDU,1062,0
98,PHX,DEN,602,0
90,ABQ,DAL,580,0
243,STX,ATL,1638,0
49,ROC,PIT,224,0
346,LAX,HNL,2556,0
86,ELP,DAL,562,0
132,MCO,DTW,957,0
65,BUR,OAK,325,0
56,LGA,SYR,198,0
183,DTW,HOU,1093,0
77,PIT,MKE,431,0
111,IAH,ATL,689,0
62,BWI,BDL,283,0
43,AMA,MAF,228,0
83,MCI,DFW,460,0
166,DEN,ATL,1199,0
259,SNA,ORD,1726,0
113,SAN,DEN,853,0
102,ORD,ATL,606,0
80,STL,LNK,370,0
39,BOS,BDL,91,0
67,PHL,BTV,336,0
167,LGA,ATL,761,0
86,LAX,PHX,370,0
78,BOS,BWI,370,0
61,LGA,BOS,185,0
59,DCA,GSO,248,0
76,RAP,MSP,490,0
68,ORF,EWR,284,0
91,ORD,BWI,622,0
70,SAN,PHX,304,0
58,OAK,BUR,325,0
34,CVG,IND,98,0
188,MCI,SAN,1333,0
69,DTW,ALB,488,0
106,BOS,PIT,496,0
64,BWI,PHL,90,0
65,MSP,MLI,274,0
119,SEA,SFO,679,0
140,LGA,ORD,733,0
90,MCI,MSP,393,0
36,PHL,ABE,55,0
102,DFW,ATL,732,0
180,BWI,MSY,998,0
155,SLC,ORD,1249,0
170,DTW,IAH,1076,0
84,MSY,TPA,487,0
117,ATL,MCI,692,0
52,HOU,DAL,239,0
40,CLE,DTW,95,0
41,SAN,LAX,109,0
36,JAX,SAV,117,0
173,CLT,DFW,936,0
65,BDL,BWI,283,0
66,CVG,ORD,264,0
33,TUS,PHX,110,0
162,DEN,RNO,804,0
125,RSW,RDU,667,0
95,RSW,ATL,515,0
41,HRL,SAT,233,0
83,CLE,LGA,418,0
94,ORD,MEM,491,0
120,BWI,JAX,663,0
106,TUL,ATL,674,0
82,BOS,DCA,399,0
63,SYR,BOS,264,0
153,DEN,SJC,948,0
85,RNO,LAX,390,0
31,JNU,SIT,95,0
43,BTV,SYR,175,0
66,DCA,CLT,331,0
68,MOB,MEM,317,0
80,RNO,SLC,422,0
172,JFK,TPA,1005,0
213,ORD,PHX,1440,0
219,JFK,MSY,1182,0
74,DFW,MSY,448,0
111,CLT,TPA,508,0
29,SIT,JNU,95,0
59,SFO,MFR,329,0
135,MCI,ABQ,718,0
24,MRY,SFO,77,0
82,MEM,OKC,432,0
327,EWR,LAX,2454,0
77,PIT,LGA,335,0
51,CAE,ATL,191,0
138,CLT,JFK,541,0
64,DFW,HOU,247,0
97,JNU,FAI,624,0
133,EWR,CVG,569,0
61,BHM,BNA,177,0
49,SMF,SFO,86,0
48,ATL,TLH,223,0
147,DCA,FLL,899,0
60,STL,MDW,251,0
103,STL,CLE,487,0
15,BGM,ITH,32,0
259,MCI,SFO,1499,0
90,SLC,ONT,558,0
91,SAN,ELP,636,0
223,ATL,SLC,1589,0
53,ORD,DTW,235,0
56,MSO,BIL,276,0
56,AUS,DFW,190,0
46,CMI,DAY,216,0
92,ORD,MSP,334,0
60,ATL,JAX,270,0
112,DFW,CVG,812,0
53,IAH,BTR,253,0
51,CLT,OAJ,191,0
42,TYS,ATL,152,0
50,YUM,PHX,160,0
28,FLL,PBI,42,0
55,ORD,CMH,296,0
133,EWR,IND,644,0
26,PBI,FLL,42,0
94,SRQ,ATL,445,0
72,CMH,ORD,296,0
70,STL,MDW,251,0
167,EWR,RSW,1068,0
65,MEM,JAN,189,0
153,SAN,SEA,1050,0
43,SAN,LAX,109,0
129,ORD,PWM,900,0
141,LGA,ORD,733,0
49,SAV,ATL,215,0
77,MAF,DFW,309,0
107,MCI,DEN,533,0
72,DTW,MKE,238,0
52,BWI,EWR,169,0
68,MKE,PIT,431,0
63,PDX,SEA,129,0
67,LGA,BUF,292,0
55,HOU,SAT,192,0
46,BHM,ATL,134,0
44,OKC,DAL,181,0
68,DAB,ATL,366,0
53,ROC,LGA,254,0
42,ATL,GSP,153,0
90,DSM,DEN,589,0
70,DCA,EWR,199,0
80,ORD,MSP,334,0
198,IAH,EWR,1400,0
41,GRR,DAY,217,0
118,DTW,BOS,632,0
165,MIA,BOS,1258,0
130,PHX,LNK,983,0
75,ORD,MSP,334,0
47,DFW,SAT,247,0
70,LGA,BOS,185,0
69,MDW,STL,251,0
69,OAK,SNA,371,0
156,LGA,MCO,950,0
103,EWR,RDU,416,0
45,ATL,BHM,134,0
29,CLT,GSO,83,0
162,IND,DEN,977,0
65,LAX,CCR,346,0
90,BOS,IAD,413,0
119,STL,DCA,719,0
49,DAY,GRR,217,0
231,SAN,ORD,1723,0
64,DTW,PIT,201,0
72,ONT,PHX,325,0
143,LAS,DFW,1055,0
104,SFO,PDX,550,0
54,BNA,ATL,214,0
29,SRQ,RSW,77,0
44,DAL,AUS,189,0
67,LGA,BOS,185,0
67,ATL,CLT,227,0
140,TPA,EWR,998,0
79,DCA,CVG,411,0
54,ORF,CLT,290,0
76,OMA,DEN,472,0
73,PIT,LGA,335,0
94,SDF,ORD,286,0
62,LAX,LAS,236,0
210,LAX,MCI,1363,0
85,BWI,BOS,370,0
57,LEX,PIT,289,0
144,MCO,LGA,950,0
74,ORD,STL,258,0
114,ORD,PHL,678,0
65,RNO,LAS,345,0
60,EWR,SYR,194,0
129,RDU,ORD,647,0
58,ALO,STL,284,0
69,EWR,SYR,194,0
42,SYR,BUF,134,0
77,LAX,SMF,373,0
51,BNA,MEM,200,0
69,DSM,STL,260,0
56,STL,IND,229,0
197,PBI,ORD,1144,0
79,ATL,MLB,443,0
79,LAX,SFO,337,0
161,BOS,ATL,946,0
77,DFW,AMA,313,0
67,ATL,GNV,300,0
79,DTW,BWI,408,0
157,PHL,MCO,861,0
146,DFW,MCO,984,0
164,FLL,LGA,1076,0
110,ALB,DTW,488,0
109,GEG,SFO,733,0
116,DTW,MCI,629,0
136,LAX,SEA,954,0
89,MSY,CLT,651,0
55,SJC,RNO,188,0
160,ATL,MSP,906,0
79,EWR,RIC,278,0
115,ATL,DTW,594,0
149,MCO,EWR,938,0
298,BWI,PHX,1999,0
87,CMH,EWR,462,0
130,MCO,JFK,944,0
109,ATL,MKE,669,0
122,MEM,MIA,860,0
83,SNA,SFO,372,0
124,ORD,RDU,647,0
258,BOS,DFW,1562,0
55,DAY,FNT,213,0
35,CLT,FAY,118,0
67,DFW,BTR,383,0
141,DEN,ONT,819,0
93,IAD,BOS,413,0
44,RDU,CLT,130,0
52,ROC,PHL,257,0
52,ORF,DCA,142,0
63,CHS,ATL,259,0
71,ORD,CAK,344,0
88,ATL,PIT,526,0
107,CLT,ORD,599,0
135,MCO,PHL,861,0
61,ATL,CLT,227,0
150,MSP,DCA,931,0
33,EVV,IND,135,0
60,DEN,ABQ,349,0
72,ATL,MEM,332,0
113,ATL,ORD,606,0
51,GCN,LAS,169,0
178,PHX,ATL,1587,0
73,PWM,PHL,365,0
130,MSP,DFW,852,0
364,JFK,LAX,2475,0
178,DFW,LGA,1389,0
84,ATL,TPA,406,0
70,SMF,LAX,373,0
288,OGG,SFO,2338,0
77,SFO,LAX,337,0
48,PIT,BGM,251,0
44,BOI,SLC,291,0
52,DFW,OKC,175,0
119,LAX,DEN,862,0
73,LAX,SJC,308,0
294,CLE,LAX,2053,0
105,ORD,CLT,599,0
112,SJC,SEA,697,0
89,DAB,RDU,480,0
91,MDW,MCI,405,0
77,SJC,LAX,308,0
64,DFW,LIT,304,0
99,IAH,ATL,689,0
93,DEN,PHX,602,0
46,DFW,AUS,190,0
64,IND,DTW,231,0
74,ISP,PIT,375,0
65,LAS,RNO,345,0
116,CID,DEN,692,0
34,GJT,DRO,142,0
183,MIA,ORD,1197,0
48,DAY,EVV,220,0
203,EWR,TPA,998,0
51,DFW,IAH,224,0
141,MDW,DEN,895,0
109,TUS,DEN,639,0
63,STL,ALO,284,0
76,LGA,DCA,214,0
92,OAK,PDX,543,0
46,CMI,DAY,216,0
53,IAH,DFW,224,0
149,SLC,DFW,988,0
69,ORH,BWI,330,0
77,SFO,SAN,447,0
65,GRB,MSP,252,0
74,ORD,CMH,296,0
83,MCI,CVG,539,0
57,DAL,HOU,239,0
51,TPA,FLL,197,0
72,DCA,BOS,399,0
118,ORD,RDU,647,0
165,MSY,LGA,1183,0
46,TPA,RSW,110,0
52,DTW,PIT,201,0
272,MIA,DEN,1709,0
116,ORD,ORF,717,0
156,IAD,MSP,908,0
88,DEN,SLC,391,0
246,BOS,DEN,1754,0
32,RST,MSP,76,0
123,SRQ,RDU,625,0
143,SEA,SNA,978,0
68,JFK,DCA,213,0
133,OKC,PHX,833,0
317,LAX,JFK,2475,0
85,MSY,HOU,303,0
89,CVG,EWR,569,0
39,BIL,GTF,177,0
250,ORD,SFO,1846,0
61,DTW,PIT,201,0
60,PIT,EWR,319,0
496,DFW,HNL,3784,0
61,PIT,LGA,335,0
227,JFK,STT,1623,0
72,ATL,CMH,446,0
161,SEA,SAN,1050,0
184,AUS,LAX,1242,0
44,ISP,ALB,139,0
58,SLC,BOI,291,0
319,ATL,SEA,2182,0
69,DTW,ORD,235,0
334,JFK,SEA,2421,0
104,MSP,DEN,680,0
117,MEM,MSP,700,0
152,SEA,LAX,954,0
175,FLL,EWR,1065,0
20,SRQ,TPA,40,0
110,EWR,ORF,284,0
82,DFW,MCI,460,0
337,JFK,SAN,2446,0
236,IAD,DEN,1452,0
105,EWR,CLE,404,0
63,RIC,CLT,256,0
124,MSP,DEN,680,0
102,CLE,BOS,563,0
66,MEM,MSY,349,0
162,PHL,MCO,861,0
115,GEG,SFO,733,0
90,MEM,ORD,491,0
134,ATL,EWR,745,0
114,IAH,MCO,853,0
50,HOU,DAL,239,0
92,SFO,PDX,550,0
168,DEN,EUG,997,0
136,LGA,ORD,733,0
44,AMA,MAF,228,0
42,GSO,RIC,175,0
46,IAH,AUS,140,0
113,LGA,IND,659,0
54,MDW,DTW,229,0
138,IAH,ORD,925,0
80,ALB,CLE,424,0
232,PDX,ORD,1739,0
176,MIA,STX,1139,0
82,LAS,SFO,414,0
121,BWI,MCO,787,0
144,ORD,DEN,888,0
86,DFW,MCI,460,0
192,DFW,LAX,1235,0
92,MEM,HOU,484,0
180,IAH,PIT,1117,0
150,FLL,DAY,982,0
66,SFO,LAX,337,0
49,YUM,PHX,160,0
50,HRL,SAT,233,0
53,ATL,CHS,259,0
106,CLE,STL,487,0
160,BOS,ORD,867,0
262,ATL,LAX,1946,0
85,ORD,MSP,334,0
59,ISP,BWI,220,0
336,LAX,HNL,2556,0
51,PIT,DTW,201,0
119,DFW,DEN,641,0
138,MCO,STL,880,0
86,CLT,SDF,336,0
76,CLT,BNA,329,0
109,DFW,ORD,802,0
45,DAL,OKC,181,0
251,DTW,PHX,1671,0
49,AUS,DAL,189,0
96,LGA,CLE,418,0
241,ORD,LAS,1515,0
69,LAS,LAX,236,0
218,IAD,DEN,1452,0
131,DAY,TPA,828,0
84,LAX,SJC,308,0
116,SLC,OKC,866,0
106,DFW,COS,592,0
44,HNL,OGG,100,0
92,CLE,BOS,563,0
52,BNA,BHM,177,0
127,TPA,BWI,842,0
70,PHX,LAX,370,0
42,PDX,SEA,129,0
176,ORD,AUS,978,0
117,CLT,ORD,599,0
67,BDL,BWI,283,0
40,CVG,IND,98,0
94,OKC,DEN,495,0
167,PBI,EWR,1024,0
92,HOU,BNA,670,0
229,EWR,DEN,1605,0
55,MEM,CHA,271,0
140,SLC,MSP,991,0
38,ELP,MAF,246,0
149,IAD,FLL,901,0
61,MSY,HOU,303,0
253,ORD,LAX,1745,0
165,FLL,EWR,1065,0
142,PHL,MEM,874,0
131,BOS,DAY,709,0
216,PHX,DTW,1671,0
149,PHL,TPA,920,0
96,LGA,CLE,418,0
205,LGA,MSY,1183,0
179,STL,SLC,1156,0
77,LAX,SJC,308,0
52,RDU,CLT,130,0
81,RDU,LGA,431,0
47,IAH,SAT,191,0
105,DCA,ATL,547,0
46,LFT,IAH,201,0
53,ROC,LGA,254,0
132,EWR,ATL,745,0
205,CMH,DEN,1155,0
31,STT,STX,45,0
47,SEA,PDX,129,0
167,BOS,MSP,1124,0
56,DCA,BDL,313,0
62,OMA,STL,342,0
72,IND,DCA,499,0
104,SAV,LGA,722,0
50,MAF,DAL,319,0
78,OKC,STL,462,0
107,IAD,MDW,577,0
59,JAX,FLL,318,0
57,FAR,MSP,223,0
98,ANC,OTZ,549,0
73,SJC,SAN,417,0
65,DAL,LBB,293,0
62,SJC,LAX,308,0
52,CMH,DTW,155,0
95,CVG,EWR,569,0
77,DFW,MEM,432,0
137,LAX,SEA,954,0
41,SLC,JAC,205,0
57,ELM,PIT,208,0
63,SLC,CPR,320,0
104,ORD,ATL,606,0
111,MIA,RDU,700,0
122,DEN,MSP,680,0
18,BGM,ELM,48,0
73,ORD,CLE,316,0
78,LAX,SMF,373,0
176,DFW,SAN,1171,0
105,CAK,ATL,528,0
60,PHX,SAN,304,0
114,LAX,ELP,714,0
59,PIT,GRR,319,0
195,DTW,DEN,1123,0
67,BWI,ROC,277,0
116,DFW,ATL,732,0
104,PHX,SJC,621,0
206,EWR,DFW,1372,0
92,BHM,ORD,584,0
67,BOS,EWR,200,0
88,MSP,ORD,334,0
60,PIT,LGA,335,0
251,JFK,STT,1623,0
40,PDX,SEA,129,0
106,SLC,BUR,574,0
49,ANC,FAI,261,0
96,MSY,BNA,471,0
34,FWA,DAY,90,0
46,PDX,SEA,129,0
139,DFW,MCO,984,0
127,PHL,BNA,675,0
87,DTW,PHL,453,0
89,IAH,TUL,429,0
146,STL,COS,774,0
148,DEN,IAH,861,0
112,JAX,PHL,742,0
72,SJC,SNA,342,0
111,DCA,MCO,759,0
91,ONT,SFO,363,0
52,MAF,DAL,319,0
79,MEM,ATL,332,0
79,DFW,MSY,448,0
282,LAX,DTW,1979,0
231,ORD,PHX,1440,0
315,SFO,HNL,2398,0
172,JFK,RSW,1074,0
93,SEA,RNO,564,0
46,ATL,GSP,153,0
141,MLB,LGA,955,0
36,MSP,RST,76,0
94,SFO,SLC,599,0
68,LAX,OAK,337,0
78,CMH,ATL,446,0
295,LAX,JFK,2475,0
73,CAE,BWI,438,0
148,AUS,PHX,872,0
48,BOS,BGR,201,0
51,SYR,BOS,264,0
67,MDW,BNA,395,0
70,STL,OMA,342,0
150,LGA,MEM,963,0
67,PVD,EWR,160,0
147,MCO,EWR,938,0
89,RDU,EWR,416,0
74,PHX,LAX,370,0
142,JAX,ORD,865,0
68,CAE,ATL,191,0
42,DAL,AUS,189,0
65,IAH,DFW,224,0
291,LAX,CLE,2053,0
86,SFO,LAX,337,0
